A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	UGC05540  	154.09110	+37.77985	 8.839	
 	UGC05571  	154.92740	+52.06576	 8.339	
 	UGC05574  	154.92880	+22.45247	 8.856	 21.600
 	UGC05575  	154.94518	+22.59477	 8.694	
 	UGC05612  	156.02775	+70.88220	 9.506	 19.100
 	UGC05633  	156.16712	+14.75678	 9.202	 23.400
 	UGC05642  	156.42384	+11.73931	 9.902	 47.300
 	UGC05646  	156.47096	+14.36320	 9.321	
 	UGC05672  	157.08665	+22.57166	 8.178	  6.250
 	UGC05676  	157.26890	+54.71646	 9.179	
 	NGC2750   	136.44970	+25.43743	10.526	 38.400
 	NGC2764   	137.07297	+21.44338	10.364	 37.400
 	NGC2768   	137.90584	+60.03746	10.948	 20.067
 	NGC2770   	137.39021	+33.12345	10.323	 30.415
 	NGC2775   	137.58395	+07.03798	10.870	 17.000
 	NGC2776   	138.06054	+44.95487	10.380	 27.560
 	NGC2780   	138.18486	+34.92559	10.318	 55.550
 	NGC2782   	138.52129	+40.11366	10.280	 23.380
 	NGC2787   	139.82738	+69.20333	10.225	 10.240
 	NGC2793   	139.19430	+34.43168	 9.524	 26.300
 	NGC2798   	139.34527	+41.99998	10.326	 25.660
 	NGC2799   	139.37953	+41.99391	 9.532	 27.400
 	NGC2805   	140.08500	+64.10298	10.392	 27.820
 	NGC2814   	140.29770	+64.25194	 9.557	 27.100
 	NGC2820   	140.44043	+64.25780	10.257	 32.089
 	NGC2841   	140.51122	+50.97659	11.137	 16.778
 	NGC2844   	140.45014	+40.15127	10.357	 37.880
 	NGC2854   	141.01317	+49.20423	10.177	 33.700
 	NGC2859   	141.07720	+34.51353	10.882	 27.333
 	NGC2882   	141.65058	+07.95457	10.314	 37.933
 	NGC2893   	142.57066	+29.54000	 9.909	 26.800
 	NGC2894   	142.37601	+07.71884	10.700	 42.300
 	NGC2903   	143.04240	+21.50183	10.665	  9.058
 	NGC2906   	143.02597	+08.44182	10.637	 38.400
 	NGC2919   	143.69803	+10.28374	10.337	 41.750
 	NGC2938   	144.60405	+76.31930	 9.828	 46.000
 	NGC2962   	145.22472	+05.16591	10.716	 33.893
 	NGC2964   	145.72589	+31.84737	10.449	 21.191
 	NGC2966   	145.54784	+04.67314	10.099	 25.850
 	NGC3077   	150.82955	+68.73377	 9.356	  3.557
 	NGC3079   	150.49090	+55.67988	10.801	 19.133
 	NGC3094   	150.35812	+15.77011	10.248	 39.220
 	NGC3098   	150.56961	+24.71117	10.067	 20.267
 	NGC3104   	150.98790	+40.75575	 8.687	  9.400
 	NGC3115   	151.30812	-07.71860	10.855	 10.172
 	NGC3118   	151.79822	+33.02743	 9.473	 27.800
 	NGC3147   	154.22355	+73.40076	11.414	 41.500
 	NGC3153   	153.21050	+12.66662	10.101	 39.600
 	NGC3155   	154.41591	+74.34752	10.171	 51.400
 	NGC3162   	153.38161	+22.73756	10.287	 26.660
 	NGC3165   	153.38040	+03.37494	 8.954	
 	NGC3166   	153.44042	+03.42489	10.898	 22.000
 	NGC3169   	153.56265	+03.46612	10.853	 19.114
 	NGC3177   	154.14230	+21.12306	10.233	 24.460
 	NGC3182   	154.88760	+58.20573	10.374	
 	NGC3184   	154.57042	+41.42434	10.425	 11.954
 	NGC3185   	154.41070	+21.68825	10.215	 24.725
 	NGC3187   	154.44944	+21.87336	 9.951	 35.167
 	NGC3190   	154.52356	+21.83218	10.893	 23.633
 	NGC3193   	154.60384	+21.89399	10.870	 29.310
 	NGC3198   	154.97921	+45.54977	10.296	 13.987
 	NGC3206   	155.44852	+56.93049	 9.606	 20.725
 	NGC3213   	155.32237	+19.65185	 9.831	 32.025
 	NGC3220   	155.93649	+57.02679	 9.020	
 	NGC3225   	156.29139	+58.15004	10.064	 39.529
 	NGC3227   	155.87740	+19.86513	10.675	 20.850
 	NGC3239   	156.27567	+17.16134	 9.079	  8.100
 	NGC2500   	120.47173	+50.73719	 9.420	 10.100
 	UGC04241  	122.34897	+57.76313	 9.623	 22.225
 	UGC04305  	124.77008	+70.72019	 8.268	  3.340
 	UGC04306  	124.40329	+35.44601	10.100	 33.583
 	UGC04390  	126.96623	+73.51747	 9.633	 33.500
 	UGC04393  	126.51897	+45.96805	 9.371	 19.350
 	UGC08084  	194.59331	+02.79270	 9.576	 41.100
 	UGC08085  	194.57210	+14.55714	 9.550	 29.267
 	UGC08127  	195.26539	-01.95311	 8.539	
 	UGC08146  	195.53355	+58.70053	 8.931	 18.115
 	UGC08153  	195.77472	+03.99191	 9.516	 42.300
 	UGC08155  	195.81120	+07.80222	10.191	
 	UGC08166  	195.96855	+10.97245	 8.948	 50.767
 	UGC08181  	196.35242	+32.90000	 8.273	
 	UGC08201  	196.60380	+67.70693	 7.997	  4.394
 	UGC08246  	197.52000	+34.18093	 8.838	 18.744
 	UGC08282  	197.96362	+60.24737	 9.483	 46.500
 	UGC08303  	198.32333	+36.21750	 9.077	 20.300
 	UGC08313  	198.47509	+42.20980	 8.275	  9.200
 	UGC08320  	198.61740	+45.91969	 7.971	  4.530
 	UGC08331  	198.87424	+47.49960	 7.732	  5.747
 	UGC08365  	199.68825	+41.94976	 9.102	 21.833
 	UGC08385  	200.15953	+09.78754	 9.156	 22.400
 	UGC08441  	201.37155	+57.82150	 9.175	 26.800
 	UGC08449  	201.65248	+42.76435	 8.586	 23.900
 	UGC08489  	202.41135	+45.38781	 8.841	 24.600
 	UGC08507  	202.74516	+19.43744	 9.525	 22.800
 	UGC08508  	202.68552	+54.90909	 7.316	  2.636
 	UGC05677  	157.15920	+03.56045	 8.509	 21.975
 	UGC05688  	157.60342	+70.05021	 9.538	 30.800
 	UGC05689  	157.69217	+73.88533	10.118	 58.300
 	NGC4151   	182.63561	+39.40578	 9.775	  9.898
 	NGC4152   	182.65624	+16.03292	10.348	 33.514
 	NGC4157   	182.76824	+50.48501	10.753	 19.129
 	NGC4158   	182.79233	+20.17563	10.714	 56.760
 	NGC4159   	182.72316	+76.12566	 9.650	
 	NGC4162   	182.96873	+24.12363	10.580	 39.133
 	NGC4163   	183.03915	+36.16925	 7.719	  2.923
 	NGC4165   	183.04918	+13.24648	10.005	 45.675
 	NGC4173   	183.08958	+29.20671	 8.407	  7.828
 	NGC4178   	183.19290	+10.86580	10.210	 17.000
 	NGC4180   	183.26278	+07.03885	10.643	 40.080
 	NGC4183   	183.32012	+43.69846	 9.665	 17.710
