_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
011.8880417;-25.2888056;NGC 253                     ; 3.940;00 47 33.13;-25 17 19.7;
011.9471250;-11.4686944;NGC 255                     ;20.000;00 47 47.31;-11 28 07.3;
013.0179167;+47.5505278;NGC 278                     ;11.800;00 52 04.30;+47 33 01.9; 5.07
013.1765000;-31.2058333;NGC 289                     ;24.800;00 52 42.36;-31 12 21.0;
013.7228333;-37.6843889;NGC 300                     ; 2.160;00 54 53.48;-37 41 03.8;
014.9587083; -7.5779722;NGC 337                     ;18.200;00 59 50.09;-07 34 40.7;
016.8543750;-69.8791667;NGC 406                     ;23.000;01 07 25.05;-69 52 45.0;
019.9368333; +3.4099722;NGC 470                     ;45.000;01 19 44.84;+03 24 35.9;
020.0279167; +3.4152778;NGC 474                     ;33.000;01 20 06.70;+03 24 55.0; 7.85
021.1461250; +3.7924167;NGC 520                     ;37.750;01 24 35.07;+03 47 32.7; 4.71
021.1987917; +9.5388056;NGC 524                     ;24.000;01 24 47.71;+09 32 19.7; 8.85
022.8364583; -6.8680556;NGC 584                     ;20.800;01 31 20.75;-06 52 05.0;
023.5759583;-29.4185000;NGC 613                     ;31.700;01 34 18.23;-29 25 06.6;
023.7692917;-41.4361944;NGC 625                     ; 4.210;01 35 04.63;-41 26 10.3;
025.7597917;+13.6456667;NGC 660                     ;13.600;01 43 02.35;+13 38 44.4; 7.30
026.9771667;+27.4327778;NGC 672                     ; 7.180;01 47 54.52;+27 25 58.0; 5.75
026.9283333;-52.7617778;NGC 685                     ;15.200;01 47 42.80;-52 45 42.4;
028.2247500;+36.0528889;NGC 710                     ;35.700;01 52 53.94;+36 03 10.4;
028.2521667;-13.7386667;NGC 720                     ;27.700;01 53 00.52;-13 44 19.2;
032.0881250;+10.9948611;NGC 821                     ;24.300;02 08 21.15;+10 59 41.5; 8.42
032.3524583;-10.1358611;NGC 835                     ;34.000;02 09 24.59;-10 08 09.1;
033.5150417;+27.8771667;NGC 855                     ; 8.830;02 14 03.61;+27 52 37.8;
035.6376250;+42.3481111;NGC 891                     ; 9.120;02 22 33.03;+42 20 53.2; 6.04
036.2683333;-24.7881944;NGC 922                     ;45.850;02 25 04.40;-24 47 17.5;
036.8204583;+33.5788889;NGC 925                     ;13.900;02 27 16.91;+33 34 44.0; 6.00
037.7027083;+37.1368056;NGC 949                     ;11.300;02 30 48.65;+37 08 12.5;
038.0997500;+35.4946667;NGC 959                     ;17.200;02 32 23.94;+35 29 40.8; 4.87
038.8656250; -9.3561944;NGC 988                     ;18.300;02 35 27.75;-09 21 22.3;
038.8861667; -7.1544444;NGC 991                     ;18.800;02 35 32.68;-07 09 16.0;
039.8203750;+40.8723056;NGC 1003                    ;13.500;02 39 16.89;+40 52 20.3;
040.1000417;+39.0632500;NGC 1023                    ;12.200;02 40 24.01;+39 03 47.7; 8.36
040.1207500;+19.2970833;NGC 1036                    ; 8.070;02 40 28.98;+19 17 49.5;
040.0999167; -8.4336389;NGC 1042                    ;15.000;02 40 23.98;-08 26 01.1;
040.2700417; -8.2558333;NGC 1052                    ;20.600;02 41 04.81;-08 15 21.0; 8.47
040.4384583; +0.4431667;NGC 1055                    ;22.600;02 41 45.23;+00 26 35.4; 6.24
040.8752500;+37.3411944;NGC 1058                    ; 9.550;02 43 30.06;+37 20 28.3; 4.10
040.9191667; +1.3758611;NGC 1073                    ;15.200;02 43 40.60;+01 22 33.1; 3.60
041.5794167;-30.2749167;NGC 1097                    ;21.000;02 46 19.06;-30 16 29.7;
044.9262500;+25.2378333;NGC 1156                    ; 6.400;02 59 42.30;+25 14 16.2; 4.43
045.3052083;+44.9554167;NGC 1160                    ;32.000;03 01 13.25;+44 57 19.5; 3.52
045.4001667;-14.8366389;NGC 1172                    ;22.100;03 01 36.04;-14 50 11.9; 7.01
045.6566250;-22.8671667;NGC 1187                    ;22.200;03 02 37.59;-22 52 01.8;
045.9099167;-15.6135000;NGC 1199                    ;33.900;03 03 38.38;-15 36 48.6; 8.35
047.4396250;-20.5793056;NGC 1232                    ;22.000;03 09 45.51;-20 34 45.5;
047.5080833;-20.6005833;NGC 1232A                   ;21.100;03 10 01.94;-20 36 02.1;
049.3275000;-41.1080833;NGC 1291                    ; 8.600;03 17 18.60;-41 06 29.1; 7.97
049.9211667;-19.4113611;NGC 1300                    ;22.600;03 19 41.08;-19 24 40.9; 8.50
049.5668750;-66.4982500;NGC 1313                    ; 4.610;03 18 16.05;-66 29 53.7;
050.7775417;-21.3751944;NGC 1315                    ;12.100;03 23 06.61;-21 22 30.7; 5.52
050.6741250;-37.2081944;NGC 1316                    ;22.700;03 22 41.79;-37 12 29.5; 8.60
050.6845417;-37.1037778;NGC 1317                    ;16.900;03 22 44.29;-37 06 13.6;
051.2022917;-21.3362222;NGC 1325A                   ;17.700;03 24 48.55;-21 20 10.4;
051.6181250;-21.3556667;NGC 1331                    ;22.900;03 26 28.35;-21 21 20.4; 5.48
051.5721667;-21.3353611;NGC 1332                    ;24.600;03 26 17.32;-21 20 07.3; 9.38
051.9934583;-37.1499722;NGC 1341                    ;16.900;03 27 58.43;-37 08 59.9; 6.30
052.0819583;-31.0681667;NGC 1344                    ;21.800;03 28 19.67;-31 04 05.4; 7.89
053.4019167;-36.1406667;NGC 1365                    ;26.200;03 33 36.46;-36 08 26.4; 7.68
053.8107083;-20.3736667;NGC 1370                    ;19.100;03 35 14.57;-20 22 25.2; 5.96
053.7556250;-24.9331111;NGC 1371                    ;25.700;03 35 01.35;-24 55 59.2;
054.1628333;-20.9022500;NGC 1377                    ;25.700;03 36 39.08;-20 54 08.1;
054.1149583;-34.9763056;NGC 1380                    ;21.200;03 36 27.59;-34 58 34.7; 8.51
054.2872917;-35.1950278;NGC 1380B                   ;22.600;03 37 08.95;-35 11 42.1; 6.19
054.1926667;-35.9992778;NGC 1386                    ;16.500;03 36 46.24;-35 59 57.4; 7.89
054.2377917;-35.5066667;NGC 1387                    ;20.300;03 36 57.07;-35 30 24.0; 7.95
054.2988750;-35.7461389;NGC 1389                    ;21.700;03 37 11.73;-35 44 46.1; 7.42
054.6241250;-23.0276944;NGC 1395                    ;24.800;03 38 29.79;-23 01 39.7; 8.77
054.5274167;-35.4399167;NGC 1396                    ;20.100;03 38 06.58;-35 26 23.7; 5.83
054.7172083;-26.3378333;NGC 1398                    ;24.800;03 38 52.13;-26 20 16.2;
054.6211667;-35.4507500;NGC 1399                    ;24.900;03 38 29.08;-35 27 02.7; 9.55
054.8785417;-18.6881389;NGC 1400                    ;27.400;03 39 30.85;-18 41 17.3; 8.83
054.7163333;-35.5943889;NGC 1404                    ;22.200;03 38 51.92;-35 35 39.8; 8.67
055.0495833;-18.5803889;NGC 1407                    ;28.800;03 40 11.90;-18 34 49.4; 8.99
055.7046250;-22.1083889;NGC 1426                    ;24.400;03 42 49.11;-22 06 30.2; 7.67
055.5809583;-35.3926944;NGC 1427                    ;23.700;03 42 19.43;-35 23 33.7; 7.83
055.0387500;-35.6244444;NGC 1427A                   ;16.900;03 40 09.30;-35 37 28.0;
056.2081667;-21.9205000;NGC 1439                    ;26.700;03 44 49.96;-21 55 13.8; 7.66
056.1330000;-44.6448333;NGC 1448                    ;23.700;03 44 31.92;-44 38 41.4;
058.6622083;-20.5024444;NGC 1482                    ;19.600;03 54 38.93;-20 30 08.8;
059.3640833;-46.2107500;NGC 1493                    ;11.300;03 57 27.38;-46 12 38.7;
061.1133750; -2.1885833;NGC 1507                    ;13.100;04 04 27.21;-02 11 18.9;
