index,z,D (Mpc)
394,0.0149019,64.81699981547142
395,0.00875033,37.829564036181
396,0.0186198,81.28498693731427
397,0.0187871,82.02880768461428
398,0.0189301,82.66478008289998
399,0.00593105,25.56954580329643
400,0.010603,45.92324403857142
401,0.0066,28.472399999999997
402,0.00611016,26.346403093823994
403,0.0112702,48.84521746302856
404,0.0106233,46.012090726671424
405,0.0150594,65.51222369297143
406,0.0186178,81.27609632931427
407,0.0148706,64.67886319011428
408,0.01,43.285714285714285
409,0.013629,59.20606988999999
410,0.00723431,31.228479605040427
411,0.014086,61.218923125714284
412,0.0127867,55.50085584381428
413,0.019884,86.91160052571428
414,0.0143895,62.55667590107142
415,0.0158408,68.96456119131427
416,0.00725692,31.326783805227432
417,0.0125645,54.52442854392857
418,0.0147928,64.33554399359998
419,0.0144894,62.99718305297142
420,0.015064,65.53253183999999
421,0.00953352,41.24746287253028
422,0.0158,68.78417142857143
423,0.012732,55.260444959999994
424,0.017072,74.41479936
425,0.00767426,33.14208971377543
426,0.015189,66.08445308999998
427,0.015431,67.15335326142856
428,0.0292597,129.06784304609997
429,0.0166149,72.38980672289998
430,0.0292,128.79702857142854
431,0.0199034,86.99805142097142
432,0.029218,128.87867796
433,0.0292335,128.9489893810714
434,0.00807084,34.868479107023994
435,0.0165093,71.92224422781429
436,0.0153995,67.01419114392857
437,0.0267684,117.79263102239999
438,0.0293776,129.60275735039997
439,0.00859665,37.15951024809644
440,0.00982686,42.528973617683995
441,0.00987337,42.73222900781528
442,0.00933,40.358781
443,0.027999,123.35547429
444,0.028,123.35999999999999
445,0.027959,123.17445291857143
446,0.0113719,49.290943326900006
447,0.027939,123.08394737571426
448,0.0221018,96.81552669959999
449,0.0273617,120.4729826866714
450,0.0102258,44.27300136702857
451,0.0127606,55.386141052971425
452,0.02909,128.29812042857142
453,0.028794,126.95611901142856
454,0.015904,69.24401663999998
455,0.0284222,125.27152051217143
456,0.026513,116.63973929571428
457,0.012275,53.25289553571428
458,0.010841,46.96511691857143
459,0.015517,67.53333123857142
460,0.022669,99.35521526142858
461,0.010497,45.459372895714274
462,0.022846,100.14831306857143
463,0.019353,84.54659403857141
464,0.018623,81.29921198142857
465,0.009767,42.267404095714284
466,0.01883,82.21958099999998
467,0.0207529,90.7867836789
468,0.012595,54.65843153571428
469,0.0199362,87.14422315902857
470,0.0126567,54.929537378099994
471,0.02599,114.28062899999998
472,0.016571,72.19542017571428
473,0.016998,74.08685144571427
474,0.0193322,84.45400267217143
475,0.021168,92.64036096
476,0.009822,42.507735788571416
477,0.021512,94.17756918857143
478,0.016048,69.88087844571429
479,0.02718,119.65179599999998
480,0.0261985,115.22083458107141
481,0.02618,115.137396
482,0.01624,70.73030399999999
483,0.006981,30.127432975714278
484,0.01504,65.42657828571429
485,0.023763,104.26148643857142
486,0.027456,120.89927972571428
487,0.0161949,70.53074908289999
488,0.022179,97.16103446142856
489,0.011764,51.01025012571429
490,0.0164483,71.65219959809998
491,0.0246,108.02211428571427
492,0.025528,112.19862335999998
493,0.00755413,32.61940662881528
494,0.02506,110.091444
495,0.025,109.82142857142856
496,0.020794,90.97024472571428
