NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
NGC2487	07:58:20.46	+25:08:57.17	0.0161302	12.7554	V500+V1200 Completed	2014-04-27	NGC2487
UGC04132	07:59:13.04	+32:54:52.82	0.017373	13.0925	V500+V1200 Completed	2012-10-15	UGC04132
UGC04140	07:59:22.21	+18:06:36.67	0.0158435	14.6604	V500+V1200 Completed	2014-10-17	UGC04140
UGC04145	07:59:40.11	+15:23:12.52	0.0155093	13.0964	V500+V1200 Completed	2014-10-17	UGC04145
UGC04136	07:59:54.43	+47:24:47.16	0.0223044	13.6732	V500+V1200 Completed	2014-10-29	UGC04136
IC0485	08:00:19.76	+26:42:05.18	0.0277846	14.1914	V500+V1200 Completed	2014-11-14	IC0485
NGC2507	08:01:37.20	+15:42:35.05	0.015257	12.1619	V500+V1200 Completed	2014-11-15	NGC2507
NGC2513	08:02:24.67	+09:24:48.79	0.015661	11.9426	V500+V1200 Completed	2013-02-07	NGC2513
UGC04176	08:02:42.85	+40:40:43.05	0.0105255	14.7912	V500+V1200 Completed	2015-01-28	UGC04176
UGC04190	08:02:57.53	+16:17:57.52	0.0162047	13.1512	V500+V1200 Completed	2015-01-12	UGC04190
UGC04197	08:03:25.52	+10:03:01.89	0.0152621	13.4936	V500+V1200 Completed	2014-10-18	UGC04197
UGC04210	08:05:05.40	+25:03:45.30	0.0168033	14.7821	V500+V1200 Completed	2014-11-18	UGC04210
UGC04195	08:05:06.90	+66:46:58.92	0.01644	13.3313	V500+V1200 Completed	2014-10-29	UGC04195
NGC2522	08:06:13.44	+17:42:23.67	0.0157167	12.6987	V500+V1200 Completed	2014-11-18	NGC2522
UGC04233	08:07:17.27	+08:52:08.60	0.0297358	14.2213	V500+V1200 Completed	2014-11-25	UGC04233
NGC2530	08:07:55.60	+17:49:06.58	0.016772	13.5302	V500+V1200 Completed	2014-11-18	NGC2530
UGC04240	08:08:06.12	+14:50:15.88	0.0285369	14.3507	V500+V1200 Completed	2015-01-28	UGC04240
UGC04245	08:08:45.83	+18:11:39.15	0.0173641	13.7078	V500+V1200 Completed	2014-10-30	UGC04245
UGC04258	08:10:47.79	+46:54:44.19	0.0104599	15.1899	V500+V1200 Completed	2014-10-30	UGC04258
NGC2540	08:12:46.44	+26:21:42.39	0.0209458	13.4332	V500+V1200 Completed	2014-10-19	NGC2540
NGC2543	08:12:57.92	+36:15:16.67	0.00822819	12.554	V500+V1200 Completed	2014-10-18	NGC2543
UGC04280	08:14:33.34	+54:47:58.43	0.0117091	13.5884	V500+V1200 Completed	2014-04-26	UGC04280
IC2247	08:15:59.09	+23:11:58.62	0.0144204	13.7898	V500+V1200 Completed	2013-01-09	IC2247
UGC04308	08:17:25.79	+21:41:07.75	0.011895	12.8853	V500+V1200 Completed	2014-10-19	UGC04308
NGC2553	08:17:34.99	+20:54:11.02	0.0156041	13.2392	V500+V1200 Completed	2014-10-30	NGC2553
NGC2554	08:17:53.50	+23:28:19.86	0.01378	11.9637	V500+V1200 Completed	2014-10-19	NGC2554
UGC04262	08:19:02.78	+83:15:59.27	0.019	13.2264	V500+V1200 Completed	2014-10-30	UGC04262
NGC2558	08:19:12.76	+20:30:38.62	0.0166327	12.8931	V500+V1200 Completed	2015-01-28	NGC2558
